component_id,category,name,driver_package_uuid,driver_family,driver_status,api_surface_set,ingress_mode_set,wire_protocol_set,dsn_key_set,auth_method_set,tls_profile_set,type_mapping_profile,diagnostic_mapping_profile,metadata_profile,thread_safety_class,pooling_capability,release_bucket,conformance_profile_ref,source_path
driver:adbc,driver,adbc,019e12a0-0025-7000-8000-000000000025,adbc,beta_2,adbc_c_api,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,arrow_recordbatch,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_adbc_gate,project/drivers/driver/adbc
driver:flightsql,driver,flightsql,019e12a0-0026-7000-8000-000000000026,flight_sql,beta_2,flight_sql_grpc,direct_listener;manager_proxy,sbwp_v1_1,flight_endpoint;database;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,arrow_recordbatch,grpc_status_sqlstate,sys_information_recursive,thread_safe,stream_pool,release_candidate,driver_flightsql_gate,project/drivers/driver/flightsql
driver:julia,driver,julia,019e12a0-0027-7000-8000-000000000027,julia,beta_2,dbinterface_tables,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_julia_gate,project/drivers/driver/julia
driver:perl,driver,perl,019e12a0-0028-7000-8000-000000000028,perl,beta_2,perl_dbi,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,connection_pool,release_candidate,driver_perl_gate,project/drivers/driver/perl
driver:r2dbc,driver,r2dbc,019e12a0-0029-7000-8000-000000000029,r2dbc,beta_2,r2dbc_spi,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,reactive_pool,release_candidate,driver_r2dbc_gate,project/drivers/driver/r2dbc
adaptor:scratchbird-airbyte,adaptor,scratchbird-airbyte,019e12a0-0030-7000-8000-000000000030,airbyte,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_airbyte_gate,project/drivers/adaptor/scratchbird-airbyte
adaptor:scratchbird-dbt-adapter,adaptor,scratchbird-dbt-adapter,019e12a0-0031-7000-8000-000000000031,dbt,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_dbt_gate,project/drivers/adaptor/scratchbird-dbt-adapter
adaptor:scratchbird-looker,adaptor,scratchbird-looker,019e12a0-0032-7000-8000-000000000032,looker,beta_2,application_adapter,driver_embedded_jdbc,sbwp_v1_1,jdbc_url;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,jdbc_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_jdbc,release_candidate,adaptor_looker_gate,project/drivers/adaptor/scratchbird-looker
adaptor:scratchbird-powerbi,adaptor,scratchbird-powerbi,019e12a0-0033-7000-8000-000000000033,powerbi,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,powerquery_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,explicit_session,release_candidate,adaptor_powerbi_gate,project/drivers/adaptor/scratchbird-powerbi
adaptor:scratchbird-tableau,adaptor,scratchbird-tableau,019e12a0-0034-7000-8000-000000000034,tableau,beta_2,application_adapter,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,tableau_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,explicit_session,release_candidate,adaptor_tableau_gate,project/drivers/adaptor/scratchbird-tableau
driver:cpp,driver,cpp,019e12a0-0001-7000-8000-000000000001,c_cpp,beta_2,native_cli_c_api,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool;statement_cache,release_candidate,driver_cpp_gate,project/drivers/driver/cpp
driver:dart,driver,dart,019e12a0-0002-7000-8000-000000000002,dart,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool,release_candidate,driver_dart_gate,project/drivers/driver/dart
driver:dotnet,driver,dotnet,019e12a0-0003-7000-8000-000000000003,dotnet,beta_2,ado_net,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_dotnet_gate,project/drivers/driver/dotnet
driver:elixir,driver,elixir,019e12a0-0004-7000-8000-000000000004,elixir,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool,release_candidate,driver_elixir_gate,project/drivers/driver/elixir
driver:go,driver,go,019e12a0-0005-7000-8000-000000000005,go,beta_2,database_sql,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_go_gate,project/drivers/driver/go
driver:jdbc,driver,jdbc,019e12a0-0006-7000-8000-000000000006,jdbc,beta_2,jdbc_4_x,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_jdbc_gate,project/drivers/driver/jdbc
driver:mojo,driver,mojo,019e12a0-0007-7000-8000-000000000007,mojo,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool,release_candidate,driver_mojo_gate,project/drivers/driver/mojo
driver:node,driver,node,019e12a0-0008-7000-8000-000000000008,node,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_node_gate,project/drivers/driver/node
driver:odbc,driver,odbc,019e12a0-0009-7000-8000-000000000009,odbc,beta_2,odbc_3_x,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;dsn;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_odbc_gate,project/drivers/driver/odbc
driver:pascal,driver,pascal,019e12a0-0010-7000-8000-000000000010,pascal,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool,release_candidate,driver_pascal_gate,project/drivers/driver/pascal
driver:php,driver,php,019e12a0-0011-7000-8000-000000000011,php,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,session_pool,release_candidate,driver_php_gate,project/drivers/driver/php
driver:python,driver,python,019e12a0-0012-7000-8000-000000000012,python,beta_2,dbapi_2,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_python_gate,project/drivers/driver/python
driver:r,driver,r,019e12a0-0013-7000-8000-000000000013,r,beta_2,dbi,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,session_pool,release_candidate,driver_r_gate,project/drivers/driver/r
driver:ruby,driver,ruby,019e12a0-0014-7000-8000-000000000014,ruby,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_ruby_gate,project/drivers/driver/ruby
driver:rust,driver,rust,019e12a0-0015-7000-8000-000000000015,rust,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,connection_pool,release_candidate,driver_rust_gate,project/drivers/driver/rust
driver:swift,driver,swift,019e12a0-0016-7000-8000-000000000016,swift,beta_2,language_binding,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,thread_safe,session_pool,release_candidate,driver_swift_gate,project/drivers/driver/swift
adaptor:scratchbird-dbeaver-driver,adaptor,scratchbird-dbeaver-driver,019e12a0-0017-7000-8000-000000000017,dbeaver,beta_2,application_adapter,manager_proxy;driver_embedded_jdbc,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,jdbc_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_jdbc,release_candidate,adaptor_dbeaver_gate,project/drivers/adaptor/scratchbird-dbeaver-driver
adaptor:scratchbird-hibernate-dialect,adaptor,scratchbird-hibernate-dialect,019e12a0-0018-7000-8000-000000000018,hibernate,beta_2,application_adapter,driver_embedded_jdbc,sbwp_v1_1,jdbc_url;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,jdbc_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_jdbc,release_candidate,adaptor_hibernate_gate,project/drivers/adaptor/scratchbird-hibernate-dialect
adaptor:scratchbird-metabase-driver,adaptor,scratchbird-metabase-driver,019e12a0-0019-7000-8000-000000000019,metabase,beta_2,application_adapter,driver_embedded_jdbc,sbwp_v1_1,jdbc_url;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,jdbc_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_jdbc,release_candidate,adaptor_metabase_gate,project/drivers/adaptor/scratchbird-metabase-driver
adaptor:scratchbird-prisma-adapter,adaptor,scratchbird-prisma-adapter,019e12a0-0020-7000-8000-000000000020,prisma,beta_2,application_adapter,driver_embedded_node,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_node,release_candidate,adaptor_prisma_gate,project/drivers/adaptor/scratchbird-prisma-adapter
adaptor:scratchbird-sqlalchemy-dialect,adaptor,scratchbird-sqlalchemy-dialect,019e12a0-0021-7000-8000-000000000021,sqlalchemy,beta_2,application_adapter,driver_embedded_python,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_sqlalchemy_gate,project/drivers/adaptor/scratchbird-sqlalchemy-dialect
adaptor:scratchbird-superset-driver,adaptor,scratchbird-superset-driver,019e12a0-0022-7000-8000-000000000022,superset,beta_2,application_adapter,driver_embedded_python,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,python_dbapi_mapping,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_python,release_candidate,adaptor_superset_gate,project/drivers/adaptor/scratchbird-superset-driver
adaptor:scratchbird-typeorm-adapter,adaptor,scratchbird-typeorm-adapter,019e12a0-0023-7000-8000-000000000023,typeorm,beta_2,application_adapter,driver_embedded_node,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,delegates_to_node,release_candidate,adaptor_typeorm_gate,project/drivers/adaptor/scratchbird-typeorm-adapter
tool:cli,tool,cli,019e12a0-0024-7000-8000-000000000024,native_cli,beta_2,cli_tools,direct_listener;manager_proxy,sbwp_v1_1,database;host;port;user;auth_method,engine_local_password;scram_ready,scratchbird_tls_1_3_floor,sbsql_core,native_sqlstate,sys_information_recursive,connection_thread_confined,explicit_session,release_candidate,tool_cli_gate,project/drivers/tool/cli
